TIME,BVP,ACCX,ACCY,ACCZ,GSR,ST,LAB
3.812500,5.648338,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.828125,4.983917,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.843750,3.004776,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.859375,0.496689,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.875000,-1.717224,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.890625,-3.050896,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.906250,-3.361748,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.921875,-2.878349,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.937500,-1.956673,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.953125,-0.924004,28.000000,9.000000,57.000000,0.269047,34.370000,0.000000
3.968750,-0.017464,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
3.984375,0.613342,28.000000,9.000000,56.000000,0.269047,34.370000,0.000000
4.000000,0.824615,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.015625,0.472771,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.031250,-0.576759,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.046875,-2.317474,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.062500,-4.535469,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.078125,-6.782089,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.093750,-8.464020,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.109375,-9.146355,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.125000,-8.709404,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.140625,-7.439575,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.156250,-5.836029,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.171875,-4.372368,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.187500,-3.228256,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.203125,-2.300774,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.218750,-1.264305,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.234375,0.077156,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.250000,1.667313,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.265625,3.224419,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.281250,4.345131,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.296875,4.727043,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.312500,4.366684,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.328125,3.510513,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.343750,2.533089,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.359375,1.736816,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.375000,1.229691,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.390625,0.934959,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.406250,0.719910,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.421875,0.477226,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.437500,0.209419,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.453125,-0.001976,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.468750,-0.014450,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.484375,0.247246,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.500000,0.789330,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.515625,1.555519,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.531250,2.396744,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.546875,3.145210,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.562500,3.668884,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.578125,3.831879,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.593750,3.601265,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.609375,3.038612,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.625000,2.242874,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.640625,1.388084,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.656250,0.574020,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.671875,-0.198196,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.687500,-1.002876,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.703125,-1.936653,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.718750,-2.971847,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.734375,-3.977730,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.750000,-4.746086,27.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.765625,-5.172562,27.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.781250,-5.308166,26.000000,8.000000,57.000000,0.267766,34.350000,0.000000
4.796875,-5.320106,26.000000,8.000000,57.000000,0.267766,34.350000,0.000000
4.812500,-5.347160,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.828125,-5.380875,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
4.843750,-5.188179,29.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.859375,-4.535530,29.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.875000,-3.294914,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.890625,-1.602768,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.906250,0.155510,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.921875,1.495026,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.937500,2.125511,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.953125,1.999443,28.000000,10.000000,56.000000,0.267766,34.350000,0.000000
4.968750,1.344551,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
4.984375,0.490822,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.000000,-0.302544,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.015625,-0.892494,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.031250,-1.231003,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.046875,-1.340614,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.062500,-1.206551,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.078125,-0.855110,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.093750,-0.428131,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.109375,-0.078758,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.125000,0.068802,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.140625,0.044647,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.156250,-0.009293,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.171875,0.042847,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.187500,0.201843,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.203125,0.323425,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.218750,0.221504,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.234375,-0.159500,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.250000,-0.658646,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.265625,-0.992424,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
5.281250,-0.987343,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.296875,-0.718163,28.000000,9.000000,57.000000,0.267766,34.350000,0.000000
5.312500,-0.509644,28.000000,9.000000,56.000000,0.267766,34.350000,0.000000
