,dur_max,dur_mean,dur_min,latency,n_peak,pha_auc,pha_max,pha_mean,pha_min,pha_std,pks_max,pks_mean,pks_min,slp_max,slp_mean,slp_min
515.0,,,,,0,-0.0005480501760412687,0.00136858360036074,-0.0005480501760412687,-0.003250544873734551,0.0008984658639987471,,,,,,
520.0,,,,,0,-0.00041000585836303567,0.00136858360036074,-0.00041000585836303567,-0.00195505103812621,0.0006168286691057434,,,,,,
525.0,,,,,0,-0.0004242875340586051,0.00136858360036074,-0.0004242875340586051,-0.00195505103812621,0.0005609172590133394,,,,,,
530.0,,,,,0,-0.0003800939200008831,0.0010987174756561524,-0.0003800939200008831,-0.0012331977333555066,0.00046084883986908013,,,,,,
535.0,,,,,0,-0.00042335340914660306,0.0010987174756561524,-0.00042335340914660306,-0.0008461449426437895,0.00038707772818526024,,,,,,
540.0,,,,,0,-0.0003443920013641956,0.0010987174756561524,-0.0003443920013641956,-0.0008895635759739173,0.0004731710629664277,,,,,,
545.0,,,,,0,-0.0003845092319524617,0.0010987174756561524,-0.0003845092319524617,-0.0013475189478382443,0.0005375658991207562,,,,,,
550.0,,,,,0,-0.0003636606458639924,0.0009592802134703593,-0.0003636606458639924,-0.0013475189478382443,0.0005465245334897529,,,,,,
555.0,,,,,0,-0.0003179410696893956,0.001027485197288569,-0.0003179410696893956,-0.0013475189478382443,0.0006154720655674065,,,,,,
560.0,,,,,0,-0.00038705027910266633,0.0013094465319375415,-0.00038705027910266633,-0.0023929895419079195,0.0007649650336608989,,,,,,
565.0,,,,,0,-0.0002991561986820704,0.0013094465319375415,-0.0002991561986820704,-0.0023929895419079195,0.0007997484268956581,,,,,,
570.0,,,,,0,-0.00040747207504226323,0.0013094465319375415,-0.00040747207504226323,-0.0023929895419079195,0.0007858477466650146,,,,,,
575.0,,,,,0,-0.0003534052095767696,0.0013094465319375415,-0.0003534052095767696,-0.0023929895419079195,0.0007703532312518584,,,,,,
580.0,,,,,0,-0.00032310001633928116,0.0007801927309470935,-0.00032310001633928116,-0.0016699522964959135,0.000633531189843272,,,,,,
585.0,,,,,0,-0.00036203262418424355,0.0007654693816259162,-0.00036203262418424355,-0.001149878757172873,0.000569200206323719,,,,,,
590.0,,,,,0,-0.00031108181744053426,0.0007654693816259162,-0.00031108181744053426,-0.001149878757172873,0.0005397735618112129,,,,,,
595.0,,,,,0,-0.0003255751659902832,0.0007654693816259162,-0.0003255751659902832,-0.0012110475593533065,0.0005727901872034701,,,,,,
600.0,,,,,0,-0.0002728306362587005,0.0008526236451218416,-0.0002728306362587005,-0.0012110475593533065,0.00057944328230454,,,,,,
605.0,,,,,0,-0.0003119200031051984,0.0008526236451218416,-0.0003119200031051984,-0.0013243413543292393,0.000579574498826772,,,,,,
610.0,,,,,0,-0.0003025686994959886,0.0008526236451218416,-0.0003025686994959886,-0.0013243413543292393,0.0005493929915018043,,,,,,
615.0,,,,,0,-0.00038621837421037863,0.0008526236451218416,-0.00038621837421037863,-0.0013243413543292393,0.0005228100128733686,,,,,,
620.0,,,,,0,-0.0005579440658675566,0.011214760040701321,-0.0005579440658675566,-0.015067768482715405,0.0037273209963236253,,,,,,
625.0,,,,,0,-0.0003507865256029473,0.011214760040701321,-0.0003507865256029473,-0.015067768482715405,0.0037408612883450343,,,,,,
630.0,,,,,0,-0.00041387755559327077,0.011214760040701321,-0.00041387755559327077,-0.015067768482715405,0.0037438180776435378,,,,,,
635.0,,,,,0,-0.0003519028114520561,0.011214760040701321,-0.0003519028114520561,-0.015067768482715405,0.00375406926698932,,,,,,
640.0,,,,,0,-0.00011601671358578052,0.000926781762571216,-0.00011601671358578052,-0.0013350796330268144,0.0006595977870704023,,,,,,
645.0,,,,,0,-0.00034167989917147833,0.0008121919356441909,-0.00034167989917147833,-0.0019539862543882514,0.0006566684838450013,,,,,,
650.0,,,,,0,-0.0003073374847033354,0.0008121919356441909,-0.0003073374847033354,-0.0019539862543882514,0.0006398555228851144,,,,,,
655.0,,,,,0,-0.00029359868599501075,0.0008121919356441909,-0.00029359868599501075,-0.0019539862543882514,0.0006645797695224498,,,,,,
660.0,,,,,0,-0.000387481304484581,0.0007845113740331255,-0.000387481304484581,-0.0019539862543882514,0.0005651147203988442,,,,,,
665.0,,,,,0,-0.00019019704245750127,0.0016408046388139974,-0.00019019704245750127,-0.001828040137369702,0.0007271731948700293,,,,,,
670.0,,,,,0,-0.00019753007865758854,0.0016408046388139974,-0.00019753007865758854,-0.001828040137369702,0.0007559313237343796,,,,,,
675.0,,,,,0,-0.00019348166273954829,0.0016408046388139974,-0.00019348166273954829,-0.001828040137369702,0.0006818813868701413,,,,,,
680.0,,,,,0,-0.00011840510656321382,0.0016408046388139974,-0.00011840510656321382,-0.001828040137369702,0.0007078236336624273,,,,,,
685.0,,,,,0,-0.00025985210128487695,0.0007764152854929929,-0.00025985210128487695,-0.0014571213745196987,0.00048529204715766104,,,,,,
690.0,,,,,0,-0.0002846556615841691,0.000591528878605585,-0.0002846556615841691,-0.0015127344583005797,0.0005443844872967871,,,,,,
695.0,,,,,0,-0.0003394916556728135,0.0018624082307847623,-0.0003394916556728135,-0.0015127344583005797,0.0007574519245266468,,,,,,
700.0,,,,,0,-0.00018799470889195623,0.0018624082307847623,-0.00018799470889195623,-0.0015127344583005797,0.0008283244409098794,,,,,,
705.0,,,,,0,-0.00015931718358864458,0.0018624082307847623,-0.00015931718358864458,-0.0015127344583005797,0.0008224650860230756,,,,,,
710.0,,,,,0,-8.085148063388602e-05,0.0018624082307847623,-8.085148063388602e-05,-0.0015127344583005797,0.0008140219416890091,,,,,,
715.0,,,,,0,4.632251152818404e-06,0.0013938913388344965,4.632251152818404e-06,-0.001228565885124322,0.0006350053522321728,,,,,,
720.0,,,,,0,-0.00015864091954990357,0.0012734230675244262,-0.00015864091954990357,-0.001228565885124322,0.0004912102077428787,,,,,,
725.0,,,,,0,-0.00027985526082351954,0.0012734230675244262,-0.00027985526082351954,-0.0014634957708490326,0.0005981078327974137,,,,,,
730.0,,,,,0,-0.00029271130196790025,0.0005508476461349998,-0.00029271130196790025,-0.0017789128715728353,0.0006071833695993904,,,,,,
735.0,,,,,0,-0.0003386558989973867,0.0009287200412589902,-0.0003386558989973867,-0.0017840678506726437,0.0007086489707758767,,,,,,
740.0,,,,,0,-5.627594598958877e-05,0.0022046803806767823,-5.627594598958877e-05,-0.0017840678506726437,0.001007925904282138,,,,,,
745.0,,,,,0,8.520338292917194e-05,0.0022046803806767823,8.520338292917194e-05,-0.0017840678506726437,0.000992301998794869,,,,,,
