TIME,ACCX,ACCY,ACCZ,GYRX,GYRY,GYRZ,MAGX,MAGY,MAGZ,LAB
26.780000,-3991.000000,9469.000000,-6981.000000,-8911.000000,-6549.000000,4220.000000,60.000000,56.000000,42.000000,4.000000
26.790000,4995.000000,10880.000000,-11639.000000,-7593.000000,-4022.000000,5194.000000,76.000000,40.000000,58.000000,4.000000
26.800000,-6356.000000,3377.000000,-12706.000000,685.000000,28.000000,2739.000000,92.000000,20.000000,60.000000,4.000000
26.810000,-17152.000000,2592.000000,-20971.000000,-4882.000000,6661.000000,-25099.000000,-16629.000000,-22549.000000,28164.000000,4.000000
26.820000,-3118.000000,-423.000000,2481.000000,2513.000000,-1355.000000,-220.000000,112.000000,8.000000,52.000000,4.000000
26.830000,-14601.000000,-29701.000000,5152.000000,28934.000000,6658.000000,28927.000000,2048.000000,13312.000000,-11776.000000,4.000000
26.840000,3124.000000,-4467.000000,-2065.000000,-2212.000000,6534.000000,-163.000000,114.000000,14.000000,48.000000,4.000000
26.850000,9990.000000,-231.000000,-1077.000000,-1522.000000,11705.000000,1586.000000,114.000000,14.000000,48.000000,4.000000
26.860000,-7525.000000,3116.000000,8693.000000,-4992.000000,6487.000000,-2780.000000,103.000000,11.000000,71.000000,4.000000
26.870000,-14189.000000,6831.000000,-242.000000,-7029.000000,3544.000000,-115.000000,79.000000,5.000000,89.000000,4.000000
26.880000,2358.000000,-464.000000,-10863.000000,-7573.000000,-1924.000000,-456.000000,72.000000,-2.000000,106.000000,4.000000
26.890000,-5993.000000,4993.000000,8.000000,-4878.000000,-1334.000000,-114.000000,77.000000,-47.000000,129.000000,4.000000
26.900000,3229.000000,5914.000000,-7716.000000,-1365.000000,-3298.000000,4023.000000,74.000000,-80.000000,126.000000,4.000000
26.910000,37.000000,3200.000000,-6236.000000,-618.000000,-3653.000000,3441.000000,82.000000,-92.000000,116.000000,4.000000
26.920000,-2994.000000,679.000000,-3642.000000,-656.000000,-2505.000000,2836.000000,90.000000,-106.000000,114.000000,4.000000
26.930000,-4696.000000,-1289.000000,-5889.000000,-1228.000000,-186.000000,2186.000000,97.000000,-113.000000,101.000000,4.000000
26.940000,-5084.000000,-2545.000000,-7235.000000,-1698.000000,688.000000,1965.000000,98.000000,-116.000000,94.000000,4.000000
26.950000,-5016.000000,-6306.000000,-8755.000000,-1731.000000,2133.000000,1329.000000,93.000000,-127.000000,95.000000,4.000000
26.960000,-5319.000000,-7854.000000,-8191.000000,-1590.000000,2278.000000,1187.000000,93.000000,-127.000000,95.000000,4.000000
26.970000,-5816.000000,-9655.000000,-9526.000000,-1695.000000,810.000000,1206.000000,91.000000,-131.000000,101.000000,4.000000
26.980000,-3552.000000,-5609.000000,-10405.000000,-969.000000,128.000000,953.000000,79.000000,-137.000000,101.000000,4.000000
26.990000,-30223.000000,26101.000000,17875.000000,15102.000000,-20223.000000,20993.000000,27648.000000,25855.000000,-14080.000000,4.000000
27.000000,-7199.000000,1468.000000,-12328.000000,368.000000,-940.000000,-787.000000,74.000000,-146.000000,98.000000,4.000000
27.010000,-6949.000000,3797.000000,-12762.000000,1259.000000,-1784.000000,-1293.000000,74.000000,-146.000000,98.000000,4.000000
27.020000,-6442.000000,6226.000000,-14095.000000,2263.000000,-2152.000000,-1946.000000,77.000000,-143.000000,103.000000,4.000000
27.030000,-5776.000000,8478.000000,-15336.000000,3628.000000,-2020.000000,-2583.000000,77.000000,-143.000000,103.000000,4.000000
27.040000,-5427.000000,9815.000000,-14299.000000,4883.000000,-1972.000000,-2985.000000,87.000000,-135.000000,101.000000,4.000000
27.050000,-4770.000000,9392.000000,-11928.000000,5957.000000,-2062.000000,-3288.000000,87.000000,-135.000000,101.000000,4.000000
27.060000,-2850.000000,9760.000000,-7758.000000,7173.000000,-1295.000000,-3683.000000,94.000000,-118.000000,100.000000,4.000000
27.070000,-2229.000000,9351.000000,-6531.000000,7536.000000,-1008.000000,-3708.000000,99.000000,-99.000000,103.000000,4.000000
27.080000,-1732.000000,8664.000000,-5666.000000,7833.000000,-1034.000000,-3632.000000,99.000000,-99.000000,103.000000,4.000000
27.090000,-1280.000000,8083.000000,-4888.000000,8106.000000,-1315.000000,-3613.000000,100.000000,-78.000000,102.000000,4.000000
27.100000,-691.000000,7751.000000,-3689.000000,8227.000000,-1401.000000,-3611.000000,100.000000,-78.000000,102.000000,4.000000
27.110000,66.000000,7311.000000,-2837.000000,8218.000000,-1745.000000,-3608.000000,108.000000,-46.000000,96.000000,4.000000
27.120000,612.000000,7097.000000,-2272.000000,8018.000000,-1805.000000,-3628.000000,108.000000,-46.000000,96.000000,4.000000
27.130000,381.000000,6406.000000,-2064.000000,7658.000000,-1456.000000,-3811.000000,102.000000,-22.000000,90.000000,4.000000
27.140000,712.000000,5841.000000,-469.000000,7053.000000,-290.000000,-3524.000000,103.000000,-1.000000,75.000000,4.000000
27.150000,736.000000,5820.000000,2751.000000,6240.000000,5.000000,-3231.000000,103.000000,-1.000000,75.000000,4.000000
27.160000,802.000000,5138.000000,5519.000000,5161.000000,73.000000,-2872.000000,98.000000,18.000000,64.000000,4.000000
27.170000,1268.000000,3505.000000,6127.000000,4671.000000,-443.000000,-2379.000000,98.000000,18.000000,64.000000,4.000000
27.180000,2152.000000,2605.000000,6788.000000,4143.000000,-636.000000,-2046.000000,94.000000,30.000000,54.000000,4.000000
27.190000,3415.000000,1813.000000,7863.000000,3035.000000,-172.000000,-1407.000000,94.000000,30.000000,54.000000,4.000000
27.200000,3781.000000,1173.000000,7495.000000,2478.000000,849.000000,-782.000000,86.000000,38.000000,42.000000,4.000000
27.210000,5293.000000,922.000000,8355.000000,1800.000000,2476.000000,-82.000000,86.000000,38.000000,42.000000,4.000000
27.220000,3947.000000,1333.000000,8362.000000,886.000000,3452.000000,958.000000,84.000000,38.000000,30.000000,4.000000
27.230000,-659.000000,407.000000,7737.000000,-871.000000,2597.000000,648.000000,84.000000,38.000000,30.000000,4.000000
27.240000,-2583.000000,159.000000,7718.000000,-2176.000000,375.000000,873.000000,84.000000,38.000000,44.000000,4.000000
27.250000,-1012.000000,839.000000,8177.000000,-3505.000000,-1357.000000,1582.000000,84.000000,38.000000,44.000000,4.000000
27.260000,-1162.000000,2209.000000,5600.000000,-4625.000000,-2633.000000,1800.000000,85.000000,37.000000,41.000000,4.000000
27.270000,2235.000000,1623.000000,4016.000000,-5624.000000,-3418.000000,2244.000000,85.000000,37.000000,41.000000,4.000000
27.280000,2235.000000,1623.000000,4016.000000,-5624.000000,-3418.000000,2244.000000,85.000000,37.000000,41.000000,4.000000
27.290000,394.000000,2520.000000,97.000000,19.000000,55.000000,8332.000000,24586.000000,1108.000000,-351.000000,4.000000
27.300000,-2756.000000,516.000000,-12664.000000,-5647.000000,3800.000000,1504.000000,103.000000,5.000000,69.000000,4.000000
27.310000,-7696.000000,-4041.000000,-14955.000000,-2563.000000,3051.000000,843.000000,98.000000,-16.000000,96.000000,4.000000
27.320000,-5104.000000,3697.000000,257.000000,-1899.000000,898.000000,-661.000000,92.000000,-20.000000,106.000000,4.000000
27.330000,-5425.000000,6170.000000,-3569.000000,-708.000000,1179.000000,163.000000,92.000000,-20.000000,106.000000,4.000000
27.340000,-2393.000000,4519.000000,118.000000,-336.000000,512.000000,-1166.000000,89.000000,-33.000000,115.000000,4.000000
27.350000,-1324.000000,-3819.000000,-3181.000000,-789.000000,-1380.000000,157.000000,89.000000,-33.000000,115.000000,4.000000
27.360000,417.000000,204.000000,-4956.000000,-991.000000,-2110.000000,396.000000,88.000000,-26.000000,114.000000,4.000000
27.370000,171.000000,-1092.000000,-4349.000000,-327.000000,-746.000000,-107.000000,91.000000,-31.000000,107.000000,4.000000
27.380000,-604.000000,-1810.000000,-6535.000000,230.000000,367.000000,-152.000000,94.000000,-30.000000,104.000000,4.000000
27.390000,-2226.000000,-1257.000000,-6847.000000,1234.000000,1164.000000,-170.000000,99.000000,-35.000000,103.000000,4.000000
27.400000,-2808.000000,-1926.000000,-3994.000000,889.000000,-453.000000,-166.000000,93.000000,-25.000000,109.000000,4.000000
27.410000,-2679.000000,-2207.000000,-1401.000000,574.000000,-2155.000000,-321.000000,93.000000,-31.000000,107.000000,4.000000
27.420000,-912.000000,-2064.000000,2109.000000,-164.000000,-2117.000000,-319.000000,94.000000,-32.000000,102.000000,4.000000
27.430000,633.000000,-2409.000000,4480.000000,-1484.000000,-1258.000000,-81.000000,96.000000,-26.000000,96.000000,4.000000
27.440000,775.000000,-2681.000000,5789.000000,-2275.000000,-685.000000,79.000000,96.000000,-26.000000,96.000000,4.000000
27.450000,500.000000,-3256.000000,4162.000000,-2940.000000,-475.000000,346.000000,103.000000,-31.000000,99.000000,4.000000
27.460000,-704.000000,-2284.000000,506.000000,-3596.000000,235.000000,874.000000,98.000000,-36.000000,94.000000,4.000000
27.470000,15.000000,-1163.000000,-292.000000,-3524.000000,594.000000,702.000000,98.000000,-36.000000,94.000000,4.000000
27.480000,404.000000,-600.000000,-1047.000000,-3433.000000,565.000000,1181.000000,100.000000,-42.000000,96.000000,4.000000
27.490000,-982.000000,245.000000,-2307.000000,-4096.000000,1157.000000,1706.000000,103.000000,-47.000000,97.000000,4.000000
27.500000,-2380.000000,298.000000,-3401.000000,-4189.000000,1036.000000,1831.000000,103.000000,-47.000000,97.000000,4.000000
27.510000,-3826.000000,727.000000,-3414.000000,-4563.000000,54.000000,1969.000000,100.000000,-64.000000,102.000000,4.000000
27.520000,-3719.000000,1109.000000,-4124.000000,-5029.000000,-806.000000,2190.000000,100.000000,-64.000000,102.000000,4.000000
27.530000,-2688.000000,1749.000000,-8999.000000,-4453.000000,-1767.000000,2254.000000,103.000000,-83.000000,99.000000,4.000000
27.540000,-2182.000000,1646.000000,-11272.000000,-4017.000000,-2412.000000,2401.000000,104.000000,-96.000000,96.000000,4.000000
27.550000,-2397.000000,628.000000,-14445.000000,-2002.000000,-2110.000000,2075.000000,103.000000,-107.000000,87.000000,4.000000
27.560000,-2287.000000,-565.000000,-12631.000000,-1644.000000,-1342.000000,1820.000000,103.000000,-107.000000,87.000000,4.000000
27.570000,-357.000000,-1353.000000,-6768.000000,-1182.000000,94.000000,1909.000000,106.000000,-114.000000,86.000000,4.000000
27.580000,-574.000000,4700.000000,1147.000000,-1581.000000,2345.000000,2031.000000,103.000000,-123.000000,87.000000,4.000000
27.590000,-3832.000000,6622.000000,-1392.000000,-2082.000000,2348.000000,1704.000000,103.000000,-123.000000,87.000000,4.000000
27.600000,-6587.000000,6725.000000,-2134.000000,-1326.000000,1451.000000,862.000000,96.000000,-126.000000,80.000000,4.000000
27.610000,-5571.000000,2723.000000,-2546.000000,-1150.000000,-136.000000,688.000000,96.000000,-126.000000,80.000000,4.000000
27.620000,-2027.000000,2663.000000,-3928.000000,-910.000000,-1620.000000,1287.000000,99.000000,-135.000000,91.000000,4.000000
27.630000,-550.000000,4428.000000,-4431.000000,-202.000000,-1634.000000,1237.000000,99.000000,-135.000000,91.000000,4.000000
27.640000,-633.000000,4359.000000,-5389.000000,165.000000,-1491.000000,917.000000,89.000000,-137.000000,83.000000,4.000000
27.650000,-1062.000000,3840.000000,-5203.000000,611.000000,-1609.000000,665.000000,89.000000,-137.000000,83.000000,4.000000
27.660000,-1457.000000,2459.000000,-4808.000000,1354.000000,-1891.000000,128.000000,97.000000,-139.000000,81.000000,4.000000
27.670000,-2002.000000,2552.000000,-4775.000000,1667.000000,-1876.000000,-66.000000,94.000000,-140.000000,74.000000,4.000000
27.680000,-2348.000000,2429.000000,-4710.000000,1808.000000,-1686.000000,-181.000000,94.000000,-140.000000,74.000000,4.000000
27.690000,-3501.000000,2124.000000,-4385.000000,1817.000000,-2200.000000,-492.000000,100.000000,-140.000000,76.000000,4.000000
27.700000,-3521.000000,1856.000000,-3568.000000,1670.000000,-2182.000000,-650.000000,103.000000,-141.000000,77.000000,4.000000
27.710000,-1785.000000,1547.000000,-1684.000000,1292.000000,-2059.000000,-895.000000,113.000000,-135.000000,71.000000,4.000000
27.720000,-466.000000,1279.000000,-845.000000,1153.000000,-1114.000000,-872.000000,113.000000,-135.000000,71.000000,4.000000
27.730000,460.000000,955.000000,59.000000,957.000000,110.000000,-752.000000,110.000000,-128.000000,68.000000,4.000000
27.740000,681.000000,582.000000,325.000000,725.000000,1205.000000,-566.000000,110.000000,-128.000000,68.000000,4.000000
27.750000,-226.000000,-54.000000,954.000000,-16.000000,2221.000000,-137.000000,119.000000,-127.000000,71.000000,4.000000
27.760000,-1144.000000,-396.000000,181.000000,-823.000000,1725.000000,186.000000,111.000000,-121.000000,71.000000,4.000000
27.770000,-1560.000000,-379.000000,-365.000000,-1165.000000,1372.000000,363.000000,105.000000,-123.000000,77.000000,4.000000
27.780000,-1832.000000,-182.000000,-1068.000000,-1415.000000,975.000000,504.000000,105.000000,-123.000000,77.000000,4.000000
27.790000,-1919.000000,508.000000,-1941.000000,-1815.000000,88.000000,805.000000,105.000000,-131.000000,79.000000,4.000000
27.800000,-1956.000000,875.000000,-2918.000000,-1876.000000,-198.000000,975.000000,102.000000,-128.000000,78.000000,4.000000
27.810000,-2218.000000,1240.000000,-4720.000000,-1752.000000,-238.000000,1064.000000,102.000000,-128.000000,78.000000,4.000000
