# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
1.005980336246809381e+00,1.320375629203737189e-01,3.000000000000000000e+00,1.000000000000000000e+00,1.005980336246809381e+00,2.000000000000000000e+00,5.819293738680256928e-02,5.000000000000000000e-01,1.500000000000000000e+00,1.005980336246809381e+00,1.081556096911398014e-02,-9.278545179315755842e-03,2.635106301920327534e-02,1.715780736863375955e-02,1.320375629203737189e-01,1.081556096911398014e-02
1.005980336246809381e+00,1.320375629203737189e-01,2.000000000000000000e+00,1.000000000000000000e+00,1.005980336246809381e+00,2.000000000000000000e+00,7.871050239588697761e-02,2.000000000000000000e+00,1.500000000000000000e+00,1.005980336246809381e+00,9.930813153842966284e-03,-1.371967659767614478e-02,2.655623294721584648e-02,2.538344187140023633e-02,1.320375629203737189e-01,9.930813153842966284e-03
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-4.148821636943286978e-04,-1.371967659767614478e-02,3.388717899529460325e-03,nan,7.473434176890503267e-03,-4.148821636943286978e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-1.180323132638348731e-04,-6.797524013117284269e-03,3.144688269674511538e-03,nan,8.819668745726205739e-03,-1.180323132638348731e-04
0.000000000000000000e+00,1.597165729087657304e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597165729087657304e-02,1.850000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.454433629185623199e-04,-5.503633489660320066e-03,4.147423778066838297e-03,1.597165729087657304e-02,1.597165729087657304e-02,7.454433629185623199e-04
0.000000000000000000e+00,1.597165729087657304e-02,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.597165729087657304e-02,8.500000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.398664278050858467e-04,-6.165060651139586678e-03,3.837237085344572408e-03,1.597165729087657304e-02,1.597165729087657304e-02,6.398664278050858467e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-6.862159699217995352e-05,-6.165060651139586678e-03,2.765147609841000532e-03,nan,6.578918686214296763e-03,-6.862159699217995352e-05
2.500515339089466882e-01,3.734769251434705284e-02,2.000000000000000000e+00,5.000000000000000000e-01,2.500515339089466882e-01,5.000000000000000000e-01,3.052836980489945229e-02,1.525000000000000000e+01,5.000000000000000000e-01,2.500515339089466882e-01,2.177695785622257244e-03,-2.036719598321345970e-02,8.540548763663629098e-03,2.370904709545185174e-02,3.734769251434705284e-02,2.177695785622257244e-03
2.500515339089466882e-01,3.734769251434705284e-02,2.000000000000000000e+00,5.000000000000000000e-01,2.500515339089466882e-01,5.000000000000000000e-01,3.052836980489945229e-02,5.250000000000000000e+00,5.000000000000000000e-01,2.500515339089466882e-01,2.718257971412606135e-03,-2.036719598321345970e-02,8.475367085529192379e-03,2.370904709545185174e-02,3.734769251434705284e-02,2.718257971412606135e-03
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.814665037865628325e-04,-4.707151617051708037e-03,2.733501867445151459e-03,nan,9.138953645897673894e-03,2.814665037865628325e-04
