# slp_min,pks_max,n_peak,dur_min,slp_max,dur_max,pks_mean,latency,dur_mean,slp_mean,pha_auc,pha_min,pha_std,pks_min,pha_max,pha_mean
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,8.040662328037684325e-05,7.913831947714555781e-05,1.204693792580857304e-06,nan,8.344240341973119257e-05,8.040662328037684325e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,8.577195854441998786e-05,6.752852400238040786e-05,1.593781037168320294e-05,nan,1.268806297332059074e-04,8.577195854441998786e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,9.943974752189333778e-04,-8.278006735347176459e-04,1.818535882895364487e-03,nan,7.079836471773015560e-03,9.943974752189333778e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,9.757384402330551709e-04,-1.218136938265113045e-03,1.972310658938531032e-03,nan,7.079836471773015560e-03,9.757384402330551709e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,2.578839832609897023e-04,-2.041642738324300765e-03,1.398798918067375519e-03,nan,4.268857553849869646e-03,2.578839832609897023e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-3.629576004689910596e-04,-4.275871969082301050e-03,1.738755480973027930e-03,nan,4.268857553849869646e-03,-3.629576004689910596e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-5.422586030927011025e-04,-4.275871969082301050e-03,1.184983741963230352e-03,nan,1.820084499663643385e-03,-5.422586030927011025e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,1.353800216708126000e-04,-2.998680892041249990e-05,1.989986727809422930e-04,nan,7.361549498128283631e-04,1.353800216708126000e-04
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,6.197273395807250957e-05,-6.755500631800970268e-04,2.359449732627059992e-04,nan,7.361549498128283631e-04,6.197273395807250957e-05
nan,nan,0.000000000000000000e+00,nan,nan,nan,nan,nan,nan,nan,-2.010540125959789370e-05,-6.755500631800970268e-04,1.305722181226111420e-04,nan,1.560596403371583563e-04,-2.010540125959789370e-05
